Model,MAE,RMSE,R2,K_MAE,K_RMSE,K_R2,MAE_Rank,RMSE_Rank,R2_Rank,Balanced_Rank
RandomForestRegressor,6.481988439439215,9.739705219992713,0.8648901452455667,0.00675971820356165,0.012317480674613062,0.5958752479660612,1.0,1.0,1.0,3.0
ExtraTreesRegressor,7.580800097740002,13.992756045961203,0.7211299165462264,0.007151183876693274,0.013241585044241149,0.5329626426406824,2.0,2.0,2.0,6.0
GradientBoostingRegressor,8.401899284137356,14.284526885256081,0.7093789128359965,0.007165906187231786,0.012667073555136703,0.5726100979704059,3.0,3.0,3.0,9.0
Ridge Regression,10.737984108579342,17.467159260478464,0.5654497925686331,0.008786768828268204,0.01488236966585739,0.4100491275551865,4.0,4.0,4.0,12.0
DummyRegressor,19.29214769352711,25.797567283853102,0.0521209837195743,0.013860285305340366,0.019860144503642648,-0.05059778360865419,5.0,5.0,5.0,15.0
