Model,CV_MAE,CV_RMSE,CV_R2,Selection_Score,Best_Params
RandomForestRegressor,11.842854313655243,19.02997086842732,0.44485962303110893,-19.02997086842732,"{""max_depth"": 20, ""max_features"": 0.8, ""n_estimators"": 200}"
GradientBoostingRegressor,12.361340581557938,20.599723859297825,0.33967859982273135,-20.599723859297825,"{""learning_rate"": 0.2, ""max_depth"": 3, ""n_estimators"": 100}"
Ridge Regression,16.375992273010624,24.414120577144885,0.12525312621056722,-24.414120577144885,"{""alpha"": 1.0}"
DummyRegressor,24.378220798472636,34.8378972215854,-0.737493541232656,-34.8378972215854,{}
